iter	Passed	Remaining
0	52	26344
1	92	22911
2	123	20505
3	153	19072
4	187	18530
5	219	18055
6	255	18017
7	288	17739
8	321	17535
9	362	17755
10	397	17679
11	431	17553
12	466	17482
13	498	17288
14	531	17190
15	565	17120
16	599	17023
17	632	16923
18	663	16784
19	696	16708
20	731	16683
21	765	16626
22	800	16597
23	833	16536
24	872	16576
25	904	16496
26	936	16414
27	971	16384
28	1006	16352
29	1039	16292
30	1075	16268
31	1110	16241
32	1145	16216
33	1181	16196
34	1215	16154
35	1249	16107
36	1284	16073
37	1321	16069
38	1360	16080
39	1399	16094
40	1435	16066
41	1471	16050
42	1507	16024
43	1542	15985
44	1577	15947
45	1610	15897
46	1645	15861
47	1682	15841
48	1717	15806
49	1750	15753
50	1783	15700
51	1817	15662
52	1851	15619
53	1887	15590
54	1925	15576
55	1962	15557
56	1995	15512
57	2030	15470
58	2063	15426
59	2105	15439
60	2143	15424
61	2176	15374
62	2212	15344
63	2253	15350
64	2300	15397
65	2345	15420
66	2378	15374
67	2412	15329
68	2445	15278
69	2480	15239
70	2514	15195
71	2545	15133
72	2580	15094
73	2614	15052
74	2650	15016
75	2683	14970
76	2716	14923
77	2753	14899
78	2788	14862
79	2824	14827
80	2859	14791
81	2895	14758
82	2929	14716
83	2964	14683
84	3000	14648
85	3038	14629
86	3076	14605
87	3111	14565
88	3145	14525
89	3179	14484
90	3218	14466
91	3252	14426
92	3292	14407
93	3329	14380
94	3367	14356
95	3402	14317
96	3435	14272
97	3470	14234
98	3505	14197
99	3542	14168
100	3574	14122
101	3611	14092
102	3645	14050
103	3682	14021
104	3719	13991
105	3754	13955
106	3790	13922
107	3826	13890
108	3865	13867
109	3903	13838
110	3939	13805
111	3974	13768
112	4011	13738
113	4048	13709
114	4086	13679
115	4119	13638
116	4156	13604
117	4192	13572
118	4227	13533
119	4262	13498
120	4297	13461
121	4330	13418
122	4368	13390
123	4403	13353
124	4438	13315
125	4478	13294
126	4525	13291
127	4564	13264
128	4606	13248
129	4642	13213
130	4679	13181
131	4712	13138
132	4746	13098
133	4781	13059
134	4816	13022
135	4850	12981
136	4883	12938
137	4919	12905
138	4955	12870
139	4988	12828
140	5026	12798
141	5060	12757
142	5093	12714
143	5129	12680
144	5166	12647
145	5205	12620
146	5241	12587
147	5276	12549
148	5310	12510
149	5339	12459
150	5372	12417
151	5402	12369
152	5434	12325
153	5468	12287
154	5502	12247
155	5537	12211
156	5572	12174
157	5609	12141
158	5645	12108
159	5683	12077
160	5719	12042
161	5754	12007
162	5790	11970
163	5825	11934
164	5858	11895
165	6013	12099
166	6058	12079
167	6091	12038
168	6125	11997
169	6160	11959
170	6194	11918
171	6231	11882
172	6266	11844
173	6301	11805
174	6337	11769
175	6373	11732
176	6409	11696
177	6445	11660
178	6482	11625
179	6519	11589
180	6553	11550
181	6587	11510
182	6622	11471
183	6658	11434
184	6694	11398
185	6737	11374
186	6779	11347
187	6820	11318
188	6852	11276
189	6885	11234
190	6916	11189
191	6950	11149
192	6985	11112
193	7021	11074
194	7059	11042
195	7094	11003
196	7130	10967
197	7164	10927
198	7200	10891
199	7241	10861
200	7280	10829
201	7317	10795
202	7352	10757
203	7386	10717
204	7421	10680
205	7457	10642
206	7495	10608
207	7531	10572
208	7566	10535
209	7602	10498
210	7637	10460
211	7670	10420
212	7706	10384
213	7743	10348
214	7781	10315
215	7817	10277
216	7853	10241
217	7886	10202
218	7922	10165
219	7957	10127
220	7994	10093
221	8038	10065
222	8076	10031
223	8111	9995
224	8145	9955
225	8179	9916
226	8217	9883
227	8256	9850
228	8294	9816
229	8331	9780
230	8368	9744
231	8404	9709
232	8440	9672
233	8479	9639
234	8513	9600
235	8547	9561
236	8581	9523
237	8623	9493
238	8662	9459
239	8697	9422
240	8732	9385
241	8767	9346
242	8801	9309
243	8837	9271
244	8870	9232
245	8905	9195
246	8942	9159
247	8989	9134
248	9036	9108
249	9073	9073
250	9103	9030
251	9142	8997
252	9177	8960
